x|y
8|1
5|2
8|10
5|10
5|5
1|8
7|9
10|1
4|8
2|3
3|3
5|2
3|4
2|5
2|7
1|6
10|2
7|1
3|2
2|9
2|4
10|4
3|8
6|4
10|2
5|7
3|10
3|9
2|7
3|8
1|8
10|5
10|4
3|8
2|3
9|6
5|5
5|7
5|3
10|7
8|10
5|5
7|7
4|10
7|7
7|5
9|3
3|1
8|4
10|7
6|4
7|5
1|3
8|3
2|2
5|5
4|9
2|4
8|4
9|3
2|3
2|2
7|2
10|9
6|1
1|9
4|2
1|10
8|5
6|6
8|6
7|10
6|6
4|2
1|3
10|7
8|8
4|7
1|2
6|2
4|2
10|6
10|7
9|10
3|9
3|9
5|2
5|9
8|3
6|3
2|4
9|1
7|1
6|2
6|5
7|9
7|1
5|4
9|5
3|4
